Metric,Correlation,Abs_Correlation,P_Value,Significant
AST_RANK,-0.4441675026258405,0.4441675026258405,0.013935649268483933,True
OPP_OPP_BLKA,0.43510312191087125,0.43510312191087125,0.016261651970836673,True
BLK,0.43510312191087125,0.43510312191087125,0.016261651970836673,True
OPP_OPP_FG3M_RANK,-0.3888093827971068,0.3888093827971068,0.03371496307248703,True
AST%,0.3525658508299044,0.3525658508299044,0.0560173093634756,False
OPP_OPP_FG3M,-0.346810079269413,0.346810079269413,0.06043712955882909,False
FG3A_RANK,-0.34387161493613466,0.34387161493613466,0.06279647490879457,False
TOV%,-0.318403842700832,0.318403842700832,0.08637836112087224,False
TM_TOV_PCT_FF,-0.318403842700832,0.318403842700832,0.08637836112087224,False
OPP_OPP_BLKA_RANK,-0.3146582859988135,0.3146582859988135,0.09035136967546101,False
BLK_RANK,-0.3146582859988135,0.3146582859988135,0.09035136967546101,False
3PA,0.31268852582280293,0.31268852582280293,0.09249572111708297,False
OPP_OPP_FTM,-0.25405774660238284,0.25405774660238284,0.1754957718317623,False
TOV,-0.24605757776936305,0.24605757776936305,0.18995728247239974,False
OPP_OPP_FT_PCT,-0.23614666685446786,0.23614666685446786,0.2089970036793975,False
TOV_RANK,-0.2350186628462225,0.2350186628462225,0.2112439024839835,False
OPP_OPP_FTA,-0.22182786395913912,0.22182786395913912,0.23874779368172888,False
OPP_OPP_STL,-0.2077252655316947,0.2077252655316947,0.27068689591721673,False
OPP_OPP_FTM_RANK,-0.20302229558709067,0.20302229558709067,0.28192557574264265,False
OPP_OPP_OREB_RANK,-0.19733541538948637,0.19733541538948637,0.2959092552068323,False
OPP_OPP_OREB,-0.1927963076427894,0.1927963076427894,0.3073799754296484,False
FT_PCT_RANK,-0.18691506342172468,0.18691506342172468,0.3226502404916479,False
ORB%,0.17331862699762937,0.17331862699762937,0.3597055511635585,False
OREB_PCT_FF,0.17331862699762937,0.17331862699762937,0.3597055511635585,False
FGA,0.1670959596120814,0.1670959596120814,0.37747340247885947,False
OPP_OPP_PFD,-0.16390241877042608,0.16390241877042608,0.3867869846311687,False
PF,-0.16390241877042608,0.16390241877042608,0.3867869846311687,False
FT%,0.16116078127537353,0.16116078127537353,0.3948873121311446,False
FGA_RANK,-0.15630527951642476,0.15630527951642476,0.4094686034606507,False
OPP_OPP_FT_PCT_RANK,-0.15443877343905565,0.15443877343905565,0.41515328338008106,False
OPP_OPP_FG3A_RANK,-0.14536255023153397,0.14536255023153397,0.44341637649512855,False
OPP_OPP_FTA_RANK,-0.1302943485970359,0.1302943485970359,0.492548055343638,False
FTM,0.12915578828574706,0.12915578828574706,0.4963690643426132,False
STL_RANK,-0.12849623256212267,0.12849623256212267,0.4985893479229348,False
OPP_MIN,-0.1266527460834945,0.1266527460834945,0.5048214996998651,False
OPP_OPP_STL_RANK,-0.12352294866053183,0.12352294866053183,0.5154903366575005,False
MIN_RANK,0.12117903925458115,0.12117903925458115,0.5235520196511025,False
OPP_MIN_RANK,0.12117903925458115,0.12117903925458115,0.5235520196511025,False
OPP_OPP_FG3A,-0.11577570001191174,0.11577570001191174,0.5423661439695896,False
OPP_OPP_FGA,0.11166135745821226,0.11166135745821226,0.5569023035315368,False
OPP_OPP_FGA_RANK,0.10387881648809105,0.10387881648809105,0.5848783510651824,False
FTM_RANK,-0.10062152368869852,0.10062152368869852,0.5967676674227702,False
STL,0.09894240077202951,0.09894240077202951,0.6029368792738297,False
Pace,0.0931353373114771,0.0931353373114771,0.6244781179601826,False
OREB,0.08010120534846121,0.08010120534846121,0.6739250857302053,False
OPP_OPP_PFD_RANK,0.07644527357273158,0.07644527357273158,0.6880484535386798,False
PF_RANK,-0.06187832073958058,0.06187832073958058,0.7453084682160217,False
FTA,0.057794763072085066,0.057794763072085066,0.7616173094492087,False
OREB_RANK,-0.05462521062557049,0.05462521062557049,0.7743455754967066,False
PFD_RANK,0.04721721985392001,0.04721721985392001,0.8043137270030771,False
OPP_OPP_PF_RANK,-0.04721721985392001,0.04721721985392001,0.8043137270030771,False
OPP_OPP_TOV_RANK,0.0449781445712505,0.0449781445712505,0.8134275081243227,False
FTA_RANK,-0.04005322787608388,0.04005322787608388,0.8335562060984986,False
OPP_OPP_TOV,-0.036028199761909824,0.036028199761909824,0.8500844932436471,False
FTA_RATE,0.0234592871758893,0.0234592871758893,0.9020685477843764,False
PFD,0.015361687727717344,0.015361687727717344,0.9357848871537373,False
OPP_OPP_PF,0.015361687727717344,0.015361687727717344,0.9357848871537373,False
GP_RANK,,,,False
OPP_GP,,,,False
OPP_GP_RANK,,,,False
