Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Atlanta Hawks,1996-97,1997,1990s,82,56,26,0.6829268292682927,106.4,100.3,6.2,0.498,0.542,22.4,0.36,8.0,88.54,0.554,1.27,15.5,0.168,0.334,0.67,0.505,0.31,0.539,94.8,0.446,0.763,89.4,0.435
Boston Celtics,1996-97,1997,1990s,82,15,67,0.1829268292682926,102.9,110.1,-7.2,0.474,0.52,16.2,0.351,5.7,96.78,0.584,1.34,16.1,0.167,0.329,0.658,0.482,0.316,0.434,100.6,0.44,0.75,107.9,0.503
Charlotte Hornets,1996-97,1997,1990s,82,54,28,0.6585365853658537,109.1,107.1,2.1,0.518,0.562,16.9,0.428,7.2,90.04,0.676,1.68,19.2,0.162,0.316,0.661,0.495,0.313,0.528,98.9,0.471,0.777,97.0,0.46
Chicago Bulls,1996-97,1997,1990s,82,69,13,0.8414634146341463,112.4,100.7,11.8,0.511,0.547,17.1,0.373,6.4,91.5,0.654,1.93,19.4,0.147,0.374,0.67,0.524,0.267,0.586,103.1,0.473,0.747,92.3,0.436
Cleveland Cavaliers,1996-97,1997,1990s,82,42,40,0.5121951219512195,102.7,100.8,1.9,0.493,0.531,15.7,0.376,5.9,84.31,0.634,1.44,17.5,0.17,0.322,0.681,0.499,0.297,0.512,87.5,0.453,0.723,85.6,0.441
Dallas Mavericks,1996-97,1997,1990s,82,24,58,0.2926829268292683,99.5,106.0,-6.5,0.469,0.509,16.0,0.326,5.2,90.65,0.591,1.26,16.0,0.177,0.332,0.65,0.488,0.297,0.448,90.6,0.436,0.717,97.0,0.458
Denver Nuggets,1996-97,1997,1990s,82,21,61,0.2560975609756097,103.1,109.7,-6.6,0.486,0.53,20.9,0.372,7.8,93.67,0.644,1.39,17.4,0.175,0.324,0.666,0.496,0.298,0.461,97.8,0.439,0.761,104.1,0.467
Detroit Pistons,1996-97,1997,1990s,82,54,28,0.6585365853658537,108.5,102.6,5.9,0.512,0.554,18.3,0.388,7.1,86.09,0.55,1.49,16.1,0.146,0.302,0.675,0.492,0.327,0.53,94.2,0.464,0.745,88.9,0.444
Golden State Warriors,1996-97,1997,1990s,82,30,52,0.3658536585365853,105.3,110.3,-5.0,0.493,0.543,16.6,0.353,5.9,93.58,0.608,1.29,16.8,0.182,0.347,0.648,0.497,0.332,0.464,99.6,0.456,0.778,104.4,0.475
Houston Rockets,1996-97,1997,1990s,82,57,25,0.6951219512195121,107.5,102.8,4.7,0.52,0.56,22.4,0.365,8.2,92.73,0.663,1.47,18.7,0.178,0.318,0.692,0.514,0.307,0.536,100.6,0.468,0.755,96.1,0.443
Indiana Pacers,1996-97,1997,1990s,82,39,43,0.4756097560975609,104.2,102.9,1.3,0.49,0.537,13.8,0.381,5.2,90.44,0.614,1.31,16.8,0.178,0.338,0.668,0.506,0.374,0.504,95.4,0.456,0.722,94.4,0.44
Los Angeles Clippers,1996-97,1997,1990s,82,36,46,0.4390243902439024,103.5,106.2,-2.8,0.482,0.524,16.3,0.354,5.8,92.65,0.556,1.27,15.6,0.17,0.339,0.654,0.492,0.31,0.475,97.2,0.446,0.731,99.5,0.462
Los Angeles Lakers,1996-97,1997,1990s,82,56,26,0.6829268292682927,106.4,102.3,4.2,0.496,0.535,18.3,0.367,6.7,92.61,0.611,1.51,17.0,0.159,0.343,0.658,0.501,0.351,0.53,100.0,0.454,0.692,95.7,0.441
Miami Heat,1996-97,1997,1990s,82,61,21,0.7439024390243902,105.2,99.2,6.0,0.507,0.546,22.7,0.364,8.3,89.54,0.615,1.33,16.9,0.177,0.324,0.678,0.504,0.324,0.536,94.8,0.453,0.719,89.3,0.432
Milwaukee Bucks,1996-97,1997,1990s,82,33,49,0.4024390243902439,104.7,106.7,-2.0,0.496,0.541,11.2,0.352,4.0,90.85,0.543,1.25,15.8,0.172,0.329,0.669,0.501,0.334,0.477,95.3,0.471,0.741,97.2,0.472
Minnesota Timberwolves,1996-97,1997,1990s,82,40,42,0.4878048780487805,103.9,105.5,-1.7,0.485,0.533,13.3,0.339,4.5,92.04,0.638,1.51,17.7,0.164,0.323,0.649,0.488,0.339,0.501,96.1,0.456,0.751,97.6,0.45
New Jersey Nets,1996-97,1997,1990s,82,26,56,0.3170731707317073,102.4,107.2,-4.8,0.456,0.499,16.7,0.353,5.9,94.47,0.576,1.34,15.5,0.166,0.376,0.669,0.513,0.286,0.457,97.2,0.422,0.74,101.8,0.464
New York Knicks,1996-97,1997,1990s,82,57,25,0.6951219512195121,102.9,99.5,3.4,0.501,0.546,15.8,0.363,5.7,91.84,0.628,1.24,17.2,0.192,0.323,0.7,0.519,0.34,0.537,95.4,0.463,0.748,92.2,0.425
Orlando Magic,1996-97,1997,1990s,82,45,37,0.5487804878048781,103.8,104.2,-0.5,0.481,0.524,20.3,0.341,6.9,89.88,0.595,1.35,16.3,0.168,0.336,0.651,0.49,0.304,0.486,94.1,0.437,0.746,94.5,0.46
Philadelphia 76ers,1996-97,1997,1990s,82,22,60,0.2682926829268293,102.6,109.5,-6.9,0.47,0.518,16.5,0.319,5.3,97.05,0.564,1.18,15.2,0.179,0.359,0.654,0.504,0.358,0.453,100.2,0.438,0.725,106.7,0.47
Phoenix Suns,1996-97,1997,1990s,82,40,42,0.4878048780487805,108.0,107.1,0.9,0.508,0.552,17.4,0.369,6.4,94.46,0.658,1.75,18.9,0.151,0.297,0.663,0.482,0.317,0.509,102.8,0.469,0.761,102.2,0.467
Portland Trail Blazers,1996-97,1997,1990s,82,49,33,0.5975609756097561,106.3,102.1,4.2,0.503,0.544,17.1,0.358,6.1,92.17,0.57,1.26,16.1,0.178,0.358,0.691,0.527,0.35,0.527,99.0,0.464,0.713,94.8,0.436
Sacramento Kings,1996-97,1997,1990s,82,34,48,0.4146341463414634,102.7,107.0,-4.3,0.485,0.526,12.9,0.391,5.0,92.68,0.598,1.34,16.8,0.174,0.348,0.661,0.502,0.313,0.47,96.4,0.454,0.723,99.8,0.462
San Antonio Spurs,1996-97,1997,1990s,82,20,62,0.2439024390243902,102.1,110.8,-8.8,0.472,0.512,14.4,0.32,4.6,88.45,0.588,1.34,16.3,0.171,0.344,0.643,0.49,0.302,0.44,90.5,0.442,0.719,98.3,0.471
Seattle SuperSonics,1996-97,1997,1990s,82,57,25,0.6951219512195121,109.6,101.0,8.5,0.51,0.557,19.3,0.353,6.8,91.68,0.644,1.57,18.1,0.163,0.341,0.657,0.5,0.358,0.562,100.9,0.467,0.752,93.2,0.441
Toronto Raptors,1996-97,1997,1990s,82,30,52,0.3658536585365853,102.9,106.4,-3.5,0.481,0.521,19.8,0.363,7.2,92.03,0.592,1.27,16.1,0.177,0.35,0.657,0.498,0.303,0.467,95.5,0.437,0.72,98.6,0.465
Utah Jazz,1996-97,1997,1990s,82,64,18,0.7804878048780488,112.4,102.6,9.8,0.531,0.581,11.0,0.37,4.1,91.1,0.702,1.75,20.4,0.167,0.328,0.687,0.518,0.389,0.59,103.1,0.504,0.769,94.3,0.438
Vancouver Grizzlies,1996-97,1997,1990s,82,14,68,0.1707317073170731,99.1,110.1,-11.0,0.471,0.507,15.5,0.349,5.4,89.7,0.661,1.43,17.9,0.176,0.325,0.618,0.469,0.269,0.433,89.2,0.437,0.709,99.4,0.472
Washington Bullets,1996-97,1997,1990s,82,44,38,0.5365853658536586,105.2,103.7,1.5,0.505,0.54,12.2,0.331,4.0,93.52,0.599,1.49,17.7,0.167,0.326,0.676,0.503,0.296,0.525,99.4,0.48,0.707,97.7,0.454
Atlanta Hawks,1997-98,1998,1990s,82,50,32,0.6097560975609756,106.5,102.5,4.0,0.481,0.533,12.4,0.332,4.1,89.1,0.543,1.29,15.3,0.165,0.356,0.669,0.518,0.364,0.532,95.9,0.455,0.756,92.3,0.442
Boston Celtics,1997-98,1998,1990s,82,36,46,0.4390243902439024,100.8,103.5,-2.7,0.464,0.504,15.2,0.332,5.1,94.9,0.603,1.37,16.5,0.171,0.352,0.642,0.484,0.283,0.457,95.9,0.434,0.726,98.5,0.479
Charlotte Hornets,1997-98,1998,1990s,82,51,31,0.6219512195121951,105.5,103.3,2.2,0.495,0.542,11.0,0.383,4.2,91.13,0.654,1.56,18.3,0.166,0.326,0.691,0.51,0.345,0.526,96.6,0.468,0.751,94.6,0.464
Chicago Bulls,1997-98,1998,1990s,82,62,20,0.7560975609756098,106.2,98.4,7.8,0.473,0.516,11.7,0.323,3.8,90.3,0.637,1.66,18.0,0.158,0.381,0.676,0.527,0.295,0.56,96.7,0.451,0.743,89.6,0.431
Cleveland Cavaliers,1997-98,1998,1990s,82,47,35,0.573170731707317,100.3,97.5,2.8,0.478,0.529,9.8,0.372,3.6,91.43,0.672,1.33,17.8,0.188,0.33,0.678,0.508,0.352,0.528,92.5,0.454,0.756,89.8,0.433
Dallas Mavericks,1997-98,1998,1990s,82,20,62,0.2439024390243902,98.9,105.2,-6.3,0.458,0.498,14.4,0.357,5.1,91.47,0.533,1.3,14.9,0.156,0.306,0.632,0.466,0.257,0.446,91.4,0.427,0.753,97.5,0.46
Denver Nuggets,1997-98,1998,1990s,82,11,71,0.1341463414634146,97.4,110.6,-13.2,0.44,0.496,10.9,0.323,3.5,91.06,0.578,1.18,15.0,0.175,0.337,0.639,0.482,0.335,0.407,89.0,0.418,0.772,100.8,0.473
Detroit Pistons,1997-98,1998,1990s,82,37,45,0.4512195121951219,103.4,101.8,1.6,0.472,0.523,11.4,0.312,3.6,89.75,0.558,1.33,15.5,0.16,0.332,0.668,0.5,0.359,0.505,94.2,0.449,0.745,92.6,0.445
Golden State Warriors,1997-98,1998,1990s,82,19,63,0.2317073170731707,93.9,103.5,-9.6,0.427,0.468,8.5,0.272,2.3,93.31,0.6,1.25,15.7,0.178,0.356,0.664,0.505,0.278,0.423,88.3,0.413,0.71,97.4,0.444
Houston Rockets,1997-98,1998,1990s,82,41,41,0.5,105.9,106.8,-0.9,0.496,0.544,20.4,0.343,7.0,92.52,0.611,1.39,16.9,0.17,0.324,0.672,0.499,0.326,0.49,98.8,0.452,0.771,99.5,0.469
Indiana Pacers,1997-98,1998,1990s,82,58,24,0.7073170731707317,106.3,99.5,6.8,0.502,0.55,12.5,0.39,4.9,89.69,0.647,1.62,18.3,0.158,0.305,0.657,0.49,0.343,0.553,96.0,0.469,0.764,89.9,0.432
Los Angeles Clippers,1997-98,1998,1990s,82,17,65,0.2073170731707317,101.8,109.6,-7.7,0.477,0.518,17.9,0.358,6.4,93.74,0.523,1.16,14.6,0.171,0.33,0.638,0.481,0.306,0.437,95.9,0.438,0.723,103.3,0.474
Los Angeles Lakers,1997-98,1998,1990s,82,61,21,0.7439024390243902,110.4,102.3,8.1,0.519,0.559,17.3,0.351,6.1,94.85,0.639,1.6,18.1,0.16,0.339,0.656,0.503,0.42,0.558,105.5,0.481,0.679,97.8,0.439
Miami Heat,1997-98,1998,1990s,82,55,27,0.6707317073170732,105.7,100.5,5.2,0.494,0.538,18.8,0.355,6.7,89.35,0.617,1.43,17.0,0.166,0.339,0.669,0.508,0.329,0.535,95.0,0.45,0.739,90.0,0.428
Milwaukee Bucks,1997-98,1998,1990s,82,36,46,0.4390243902439024,101.5,103.7,-2.2,0.475,0.527,8.6,0.354,3.0,91.9,0.565,1.19,15.7,0.181,0.34,0.664,0.501,0.339,0.483,94.5,0.456,0.767,96.4,0.461
Minnesota Timberwolves,1997-98,1998,1990s,82,45,37,0.5487804878048781,106.4,105.5,0.8,0.483,0.529,10.6,0.347,3.7,93.89,0.655,1.82,18.6,0.146,0.333,0.657,0.497,0.329,0.515,101.1,0.461,0.743,100.4,0.448
New Jersey Nets,1997-98,1998,1990s,82,43,39,0.524390243902439,105.8,104.3,1.5,0.463,0.513,11.4,0.331,3.8,93.16,0.552,1.43,15.3,0.153,0.383,0.65,0.508,0.339,0.497,99.6,0.441,0.744,98.1,0.471
New York Knicks,1997-98,1998,1990s,82,43,39,0.524390243902439,101.5,98.8,2.7,0.476,0.521,13.9,0.335,4.7,89.53,0.624,1.43,17.3,0.169,0.319,0.703,0.512,0.283,0.517,91.6,0.447,0.772,89.1,0.428
Orlando Magic,1997-98,1998,1990s,82,41,41,0.5,101.0,102.2,-1.2,0.452,0.499,11.1,0.323,3.6,88.51,0.611,1.35,16.3,0.172,0.37,0.646,0.505,0.331,0.489,90.1,0.429,0.726,91.2,0.454
Philadelphia 76ers,1997-98,1998,1990s,82,31,51,0.3780487804878049,101.1,103.3,-2.3,0.462,0.514,9.9,0.3,3.0,92.11,0.609,1.28,16.3,0.179,0.341,0.66,0.499,0.367,0.478,93.3,0.443,0.737,95.7,0.451
Phoenix Suns,1997-98,1998,1990s,82,56,26,0.6829268292682927,106.3,100.6,5.6,0.5,0.54,14.8,0.356,5.3,92.47,0.677,1.72,19.3,0.161,0.321,0.664,0.497,0.29,0.547,99.6,0.468,0.749,94.4,0.442
Portland Trail Blazers,1997-98,1998,1990s,82,46,36,0.5609756097560976,102.4,100.8,1.6,0.476,0.524,12.8,0.309,4.0,91.46,0.612,1.28,16.6,0.183,0.355,0.685,0.525,0.348,0.512,94.3,0.451,0.737,92.9,0.431
Sacramento Kings,1997-98,1998,1990s,82,27,55,0.3292682926829268,99.1,105.0,-5.9,0.464,0.502,9.8,0.351,3.5,93.78,0.621,1.44,17.0,0.165,0.328,0.643,0.483,0.314,0.458,93.1,0.442,0.687,98.7,0.457
San Antonio Spurs,1997-98,1998,1990s,82,56,26,0.6829268292682927,102.4,98.0,4.4,0.493,0.531,10.5,0.35,3.7,89.65,0.635,1.4,17.7,0.178,0.326,0.696,0.524,0.35,0.551,92.5,0.468,0.688,88.5,0.411
Seattle SuperSonics,1997-98,1998,1990s,82,61,21,0.7439024390243902,110.1,102.3,7.9,0.521,0.558,19.2,0.395,7.6,90.96,0.651,1.73,18.7,0.153,0.321,0.635,0.481,0.327,0.544,100.6,0.473,0.721,93.4,0.446
Toronto Raptors,1997-98,1998,1990s,82,16,66,0.1951219512195122,99.4,108.9,-9.5,0.462,0.504,13.2,0.343,4.5,94.36,0.589,1.27,16.0,0.175,0.339,0.602,0.466,0.302,0.431,94.9,0.435,0.718,104.2,0.479
Utah Jazz,1997-98,1998,1990s,82,62,20,0.7560975609756098,110.9,103.8,7.2,0.51,0.569,8.2,0.372,3.0,90.55,0.692,1.64,19.4,0.169,0.352,0.684,0.529,0.433,0.571,101.0,0.49,0.773,94.4,0.439
Vancouver Grizzlies,1997-98,1998,1990s,82,19,63,0.2317073170731707,102.4,110.2,-7.8,0.482,0.527,11.0,0.362,4.0,93.6,0.652,1.4,17.9,0.182,0.34,0.652,0.496,0.327,0.452,96.6,0.458,0.739,103.9,0.475
Washington Wizards,1997-98,1998,1990s,82,42,40,0.5121951219512195,103.9,103.2,0.7,0.476,0.513,11.5,0.339,3.9,92.98,0.617,1.64,17.5,0.151,0.339,0.673,0.501,0.317,0.507,97.2,0.452,0.691,96.6,0.455
Atlanta Hawks,1998-99,1999,1990s,50,31,19,0.62,98.4,95.3,3.1,0.436,0.492,12.9,0.306,3.9,87.1,0.507,1.05,13.0,0.17,0.353,0.701,0.527,0.378,0.525,86.3,0.409,0.731,83.4,0.413
Boston Celtics,1998-99,1999,1990s,50,19,31,0.38,98.7,100.8,-2.1,0.469,0.501,15.2,0.36,5.5,93.02,0.591,1.33,16.3,0.171,0.33,0.666,0.493,0.259,0.473,93.0,0.436,0.692,94.9,0.443
Charlotte Hornets,1998-99,1999,1990s,50,26,24,0.52,100.4,100.4,0.0,0.485,0.537,14.7,0.365,5.4,91.43,0.664,1.39,17.6,0.172,0.266,0.678,0.482,0.372,0.511,92.9,0.449,0.747,93.0,0.434
Chicago Bulls,1998-99,1999,1990s,50,13,37,0.26,91.4,101.7,-10.4,0.424,0.47,12.2,0.29,3.5,89.19,0.661,1.31,16.4,0.173,0.299,0.684,0.482,0.309,0.42,81.9,0.401,0.709,91.4,0.455
Cleveland Cavaliers,1998-99,1999,1990s,50,22,28,0.44,98.2,100.1,-1.9,0.464,0.52,10.7,0.341,3.6,87.66,0.7,1.39,17.9,0.178,0.295,0.656,0.478,0.381,0.493,86.4,0.439,0.749,88.2,0.436
Dallas Mavericks,1998-99,1999,1990s,50,19,31,0.38,100.2,103.0,-2.7,0.459,0.502,11.9,0.339,4.0,90.8,0.527,1.33,14.7,0.151,0.321,0.673,0.495,0.3,0.474,91.6,0.434,0.728,94.0,0.45
Denver Nuggets,1998-99,1999,1990s,50,14,36,0.28,101.4,108.6,-7.3,0.459,0.511,18.4,0.328,6.0,91.99,0.576,1.31,15.3,0.16,0.319,0.66,0.483,0.332,0.442,93.5,0.421,0.762,100.1,0.469
Detroit Pistons,1998-99,1999,1990s,50,29,21,0.58,102.4,98.4,4.0,0.48,0.528,13.6,0.365,5.0,87.93,0.608,1.28,16.4,0.179,0.331,0.697,0.514,0.345,0.515,90.4,0.447,0.74,86.9,0.436
Golden State Warriors,1998-99,1999,1990s,50,21,29,0.42,96.0,98.9,-2.9,0.434,0.471,11.3,0.287,3.2,90.96,0.599,1.35,15.8,0.167,0.367,0.69,0.523,0.282,0.466,88.3,0.415,0.676,90.8,0.42
Houston Rockets,1998-99,1999,1990s,50,31,19,0.62,103.5,101.0,2.5,0.506,0.545,18.3,0.368,6.7,90.45,0.603,1.3,16.9,0.178,0.312,0.678,0.506,0.313,0.523,94.2,0.462,0.729,91.9,0.434
Indiana Pacers,1998-99,1999,1990s,50,33,17,0.66,106.6,102.2,4.3,0.486,0.537,16.0,0.368,5.9,88.16,0.581,1.55,16.4,0.146,0.31,0.671,0.495,0.318,0.526,94.7,0.448,0.796,90.9,0.434
Los Angeles Clippers,1998-99,1999,1990s,50,9,41,0.18,98.3,107.8,-9.6,0.454,0.497,13.4,0.32,4.3,91.04,0.479,1.03,13.2,0.173,0.332,0.646,0.48,0.306,0.402,90.4,0.427,0.721,99.2,0.474
Los Angeles Lakers,1998-99,1999,1990s,50,31,19,0.62,106.1,102.8,3.3,0.498,0.538,13.7,0.352,4.8,92.95,0.595,1.45,16.9,0.162,0.323,0.671,0.5,0.382,0.527,99.0,0.468,0.683,96.0,0.441
Miami Heat,1998-99,1999,1990s,50,33,17,0.66,102.9,97.1,5.8,0.494,0.54,16.1,0.359,5.8,86.35,0.631,1.37,17.1,0.172,0.299,0.683,0.503,0.354,0.56,89.0,0.453,0.735,84.0,0.411
Milwaukee Bucks,1998-99,1999,1990s,50,28,22,0.56,102.9,101.2,1.8,0.489,0.53,12.4,0.373,4.6,88.64,0.588,1.43,16.8,0.161,0.312,0.648,0.484,0.303,0.512,91.7,0.459,0.733,90.0,0.427
Minnesota Timberwolves,1998-99,1999,1990s,50,25,25,0.5,99.9,99.4,0.5,0.439,0.481,8.2,0.298,2.4,92.86,0.663,1.9,18.1,0.138,0.348,0.673,0.501,0.264,0.493,92.9,0.425,0.743,92.6,0.439
New Jersey Nets,1998-99,1999,1990s,50,16,34,0.32,97.0,101.2,-4.2,0.434,0.485,13.6,0.331,4.5,93.73,0.546,1.23,14.3,0.159,0.328,0.682,0.496,0.301,0.466,91.4,0.406,0.769,95.2,0.453
New York Knicks,1998-99,1999,1990s,50,27,23,0.54,97.2,95.9,1.2,0.463,0.509,11.8,0.353,4.2,88.22,0.598,1.2,15.9,0.181,0.303,0.671,0.494,0.329,0.515,86.4,0.435,0.732,85.4,0.403
Orlando Magic,1998-99,1999,1990s,50,33,17,0.66,98.9,96.3,2.6,0.456,0.498,13.5,0.33,4.5,89.93,0.632,1.3,16.6,0.181,0.36,0.685,0.518,0.318,0.519,89.5,0.428,0.7,86.9,0.443
Philadelphia 76ers,1998-99,1999,1990s,50,28,22,0.56,97.8,95.5,2.4,0.439,0.494,7.4,0.264,2.0,90.56,0.564,1.14,14.7,0.179,0.356,0.679,0.515,0.383,0.518,89.7,0.426,0.722,87.6,0.423
Phoenix Suns,1998-99,1999,1990s,50,27,23,0.54,103.9,101.6,2.2,0.481,0.526,14.0,0.372,5.2,91.54,0.695,1.83,19.1,0.148,0.306,0.671,0.489,0.303,0.529,95.6,0.449,0.76,93.3,0.45
Portland Trail Blazers,1998-99,1999,1990s,50,35,15,0.7,102.8,96.2,6.6,0.473,0.521,13.5,0.364,4.9,90.81,0.614,1.39,16.6,0.167,0.345,0.687,0.519,0.341,0.556,94.8,0.442,0.743,88.5,0.417
Sacramento Kings,1998-99,1999,1990s,50,27,23,0.54,101.2,101.6,-0.4,0.479,0.514,18.9,0.308,5.8,97.36,0.589,1.34,16.4,0.17,0.328,0.654,0.493,0.3,0.494,100.2,0.445,0.683,100.6,0.446
San Antonio Spurs,1998-99,1999,1990s,50,37,13,0.74,102.7,93.6,9.1,0.479,0.523,10.4,0.33,3.4,89.88,0.633,1.45,17.4,0.168,0.329,0.674,0.512,0.371,0.582,92.8,0.456,0.698,84.7,0.402
Seattle SuperSonics,1998-99,1999,1990s,50,25,25,0.5,103.2,104.2,-0.9,0.481,0.519,18.0,0.344,6.2,91.22,0.619,1.42,16.7,0.167,0.344,0.673,0.506,0.341,0.49,94.9,0.442,0.681,95.9,0.457
Toronto Raptors,1998-99,1999,1990s,50,23,27,0.46,99.8,101.8,-1.9,0.45,0.504,13.2,0.341,4.5,90.67,0.624,1.3,16.1,0.175,0.359,0.675,0.515,0.338,0.489,91.1,0.421,0.76,92.8,0.439
Utah Jazz,1998-99,1999,1990s,50,37,13,0.74,104.2,96.7,7.4,0.485,0.545,7.8,0.361,2.8,88.37,0.715,1.48,19.0,0.182,0.329,0.677,0.516,0.417,0.591,93.3,0.465,0.767,86.8,0.413
Vancouver Grizzlies,1998-99,1999,1990s,50,8,42,0.16,97.1,106.3,-9.3,0.447,0.498,9.1,0.327,3.0,90.29,0.586,1.14,15.3,0.185,0.342,0.645,0.49,0.367,0.427,88.9,0.428,0.717,97.5,0.463
Washington Wizards,1998-99,1999,1990s,50,18,32,0.36,99.8,102.1,-2.3,0.468,0.507,11.6,0.309,3.6,91.11,0.602,1.45,16.8,0.161,0.308,0.673,0.488,0.302,0.476,91.2,0.445,0.705,93.4,0.446
Atlanta Hawks,1999-00,2000,1990s,82,28,54,0.3414634146341463,100.1,105.8,-5.7,0.46,0.503,9.9,0.317,3.1,93.55,0.516,1.22,14.6,0.164,0.334,0.698,0.516,0.292,0.462,94.3,0.441,0.743,99.7,0.455
Boston Celtics,1999-00,2000,1990s,82,35,47,0.4268292682926829,102.9,103.9,-1.1,0.474,0.52,15.4,0.331,5.1,96.19,0.57,1.38,15.9,0.159,0.327,0.705,0.506,0.316,0.476,99.3,0.444,0.745,100.1,0.47
Charlotte Hornets,1999-00,2000,1990s,82,49,33,0.5975609756097561,102.5,99.7,2.8,0.475,0.53,12.2,0.339,4.1,95.58,0.689,1.68,18.4,0.153,0.283,0.712,0.501,0.376,0.541,98.4,0.449,0.758,95.8,0.448
Chicago Bulls,1999-00,2000,1990s,82,17,65,0.2073170731707317,92.8,102.8,-10.0,0.443,0.49,12.6,0.329,4.1,90.93,0.638,1.05,15.8,0.208,0.331,0.676,0.499,0.338,0.417,84.8,0.415,0.709,94.2,0.456
Cleveland Cavaliers,1999-00,2000,1990s,82,32,50,0.3902439024390244,98.7,102.2,-3.5,0.468,0.516,11.2,0.373,4.2,97.36,0.652,1.36,17.3,0.177,0.308,0.685,0.496,0.327,0.475,97.0,0.442,0.75,100.5,0.443
Dallas Mavericks,1999-00,2000,1990s,82,40,42,0.4878048780487805,104.7,105.2,-0.5,0.49,0.532,16.2,0.391,6.3,96.64,0.567,1.61,16.7,0.142,0.281,0.647,0.466,0.248,0.493,101.4,0.453,0.804,102.0,0.457
Denver Nuggets,1999-00,2000,1990s,82,35,47,0.4268292682926829,102.2,104.5,-2.3,0.476,0.517,17.0,0.336,5.7,95.95,0.625,1.49,17.2,0.161,0.321,0.688,0.504,0.306,0.483,99.0,0.442,0.724,101.1,0.45
Detroit Pistons,1999-00,2000,1990s,82,42,40,0.5121951219512195,105.2,103.8,1.4,0.492,0.548,14.9,0.359,5.4,97.56,0.561,1.33,15.7,0.16,0.295,0.694,0.495,0.378,0.506,103.5,0.459,0.781,102.0,0.465
Golden State Warriors,1999-00,2000,1990s,82,19,63,0.2317073170731707,98.0,106.5,-8.4,0.444,0.484,13.0,0.323,4.2,97.11,0.618,1.42,16.3,0.163,0.346,0.673,0.499,0.301,0.431,95.5,0.42,0.697,103.8,0.467
Houston Rockets,1999-00,2000,1990s,82,34,48,0.4146341463414634,103.3,104.2,-0.8,0.494,0.536,19.8,0.358,7.1,95.54,0.591,1.24,16.3,0.181,0.321,0.691,0.508,0.322,0.49,99.5,0.45,0.733,100.3,0.456
Indiana Pacers,1999-00,2000,1990s,82,56,26,0.6829268292682927,106.8,101.7,5.1,0.503,0.552,18.1,0.392,7.1,94.7,0.609,1.6,17.5,0.149,0.276,0.691,0.492,0.302,0.534,101.3,0.459,0.811,96.7,0.446
Los Angeles Clippers,1999-00,2000,1990s,82,15,67,0.1829268292682926,96.1,108.0,-11.9,0.458,0.499,15.5,0.339,5.2,95.69,0.514,1.12,14.2,0.169,0.286,0.674,0.474,0.27,0.411,92.0,0.426,0.746,103.5,0.477
Los Angeles Lakers,1999-00,2000,1990s,82,67,15,0.8170731707317073,105.4,96.4,9.0,0.484,0.525,12.8,0.329,4.2,95.04,0.612,1.68,17.4,0.146,0.324,0.705,0.518,0.347,0.573,100.8,0.459,0.696,92.3,0.416
Miami Heat,1999-00,2000,1990s,82,52,30,0.6341463414634146,102.5,99.4,3.1,0.495,0.533,14.7,0.371,5.4,91.22,0.649,1.57,18.3,0.163,0.304,0.696,0.508,0.283,0.543,94.4,0.46,0.736,91.3,0.422
Milwaukee Bucks,1999-00,2000,1990s,82,42,40,0.5121951219512195,106.5,106.2,0.3,0.494,0.539,13.0,0.369,4.8,94.27,0.583,1.51,17.1,0.158,0.327,0.667,0.497,0.29,0.498,101.2,0.465,0.786,101.0,0.457
Minnesota Timberwolves,1999-00,2000,1990s,82,50,32,0.6097560975609756,104.2,101.7,2.5,0.485,0.525,8.7,0.346,3.0,93.37,0.684,1.94,19.8,0.147,0.318,0.696,0.507,0.256,0.531,98.5,0.467,0.78,96.0,0.445
New Jersey Nets,1999-00,2000,1990s,82,31,51,0.3780487804878049,102.8,103.9,-1.1,0.468,0.517,16.8,0.347,5.8,94.63,0.567,1.51,15.8,0.143,0.298,0.657,0.472,0.297,0.479,98.0,0.433,0.784,99.0,0.464
New York Knicks,1999-00,2000,1990s,82,50,32,0.6097560975609756,100.9,99.5,1.5,0.482,0.527,11.4,0.375,4.3,90.54,0.548,1.32,15.8,0.16,0.277,0.699,0.496,0.283,0.507,92.1,0.455,0.781,90.7,0.424
Orlando Magic,1999-00,2000,1990s,82,41,41,0.5,101.1,100.3,0.8,0.473,0.516,10.6,0.338,3.6,98.68,0.539,1.18,15.3,0.178,0.344,0.669,0.506,0.305,0.497,100.1,0.452,0.735,99.4,0.445
Philadelphia 76ers,1999-00,2000,1990s,82,49,33,0.5975609756097561,99.9,98.3,1.5,0.457,0.501,7.8,0.323,2.5,94.25,0.607,1.42,16.6,0.165,0.335,0.68,0.504,0.329,0.508,94.8,0.442,0.708,93.4,0.435
Phoenix Suns,1999-00,2000,1990s,82,53,29,0.6463414634146342,102.7,97.3,5.4,0.491,0.532,15.2,0.368,5.6,95.67,0.678,1.53,18.8,0.173,0.316,0.676,0.5,0.286,0.542,98.9,0.457,0.759,93.7,0.424
