Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Memphis Grizzlies,2023-24,2024,2020s,82,27,55,0.3292682926829268,106.8,113.7,-6.9,0.509,0.543,37.8,0.346,13.1,98.68,0.644,1.64,17.9,0.152,0.287,0.706,0.488,0.238,0.458,105.8,0.435,0.764,112.8,0.474
Miami Heat,2023-24,2024,2020s,82,46,36,0.5609756097560976,113.3,111.5,1.8,0.538,0.578,33.7,0.37,12.5,96.88,0.648,2.04,19.1,0.13,0.261,0.734,0.498,0.257,0.509,110.1,0.465,0.818,108.4,0.467
Milwaukee Bucks,2023-24,2024,2020s,82,49,33,0.5975609756097561,117.6,115.0,2.6,0.568,0.601,38.1,0.373,14.2,100.51,0.615,2.05,19.0,0.128,0.255,0.731,0.499,0.27,0.511,119.0,0.487,0.774,116.4,0.47
Minnesota Timberwolves,2023-24,2024,2020s,82,56,26,0.6829268292682927,114.6,108.4,6.3,0.559,0.594,32.7,0.387,12.6,97.79,0.646,1.88,19.3,0.144,0.275,0.725,0.508,0.27,0.543,113.0,0.485,0.777,106.5,0.45
New Orleans Pelicans,2023-24,2024,2020s,82,49,33,0.5975609756097561,116.5,111.9,4.6,0.558,0.591,32.6,0.383,12.5,98.7,0.634,2.07,19.4,0.132,0.278,0.725,0.505,0.261,0.524,115.1,0.486,0.771,110.7,0.464
New York Knicks,2023-24,2024,2020s,82,50,32,0.6097560975609756,117.3,112.4,4.9,0.54,0.574,35.8,0.369,13.2,95.96,0.59,1.84,17.8,0.138,0.333,0.729,0.527,0.246,0.515,112.8,0.465,0.78,108.2,0.47
Oklahoma City Thunder,2023-24,2024,2020s,82,57,25,0.6951219512195121,118.3,111.0,7.3,0.573,0.608,34.2,0.389,13.3,100.85,0.609,2.14,19.4,0.125,0.25,0.698,0.484,0.24,0.538,120.1,0.499,0.825,112.7,0.455
Orlando Magic,2023-24,2024,2020s,82,47,35,0.573170731707317,112.9,110.8,2.2,0.541,0.577,31.3,0.352,11.0,97.37,0.61,1.68,18.1,0.15,0.297,0.737,0.515,0.287,0.513,110.5,0.476,0.759,108.4,0.474
Philadelphia 76ers,2023-24,2024,2020s,82,47,35,0.573170731707317,116.2,113.0,3.1,0.532,0.574,33.3,0.363,12.1,98.17,0.6,2.07,18.0,0.122,0.292,0.701,0.493,0.264,0.506,114.6,0.464,0.826,111.5,0.468
Phoenix Suns,2023-24,2024,2020s,82,49,33,0.5975609756097561,116.8,113.7,3.1,0.565,0.603,32.6,0.382,12.4,99.0,0.637,1.82,19.4,0.15,0.292,0.714,0.514,0.271,0.527,116.2,0.493,0.808,113.2,0.464
