Champion_Season,Team,Champion,3PA_MovedToward,3PA_Change,3PA_DistChange,Pace_MovedToward,Pace_Change,Pace_DistChange,ORtg_MovedToward,ORtg_Change,ORtg_DistChange,DRtg_MovedToward,DRtg_Change,DRtg_DistChange,eFG%_MovedToward,eFG%_Change,eFG%_DistChange,TS%_MovedToward,TS%_Change,TS%_DistChange
1996-97,Los Angeles Lakers,Chicago Bulls,True,-1.0,-1.0,False,2.239999999999995,2.239999999999995,True,4.0,-4.0,False,0.0,0.0,True,0.02300000000000002,-0.007000000000000006,False,0.02400000000000002,0.0
1996-97,Miami Heat,Chicago Bulls,True,-3.8999999999999986,-3.8999999999999986,False,-0.19000000000001194,0.19000000000001194,True,0.5,-0.5,True,1.2999999999999972,-1.2999999999999972,False,-0.013000000000000012,0.013000000000000012,False,-0.008000000000000007,0.008000000000000007
1996-97,Milwaukee Bucks,Chicago Bulls,False,-2.5999999999999996,2.5999999999999996,True,1.0500000000000114,-0.25,False,-3.200000000000003,3.200000000000003,True,-3.0,-3.0,False,-0.02100000000000002,0.02100000000000002,False,-0.014000000000000012,0.014000000000000012
1996-97,Minnesota Timberwolves,Chicago Bulls,False,-2.700000000000001,2.700000000000001,False,1.8499999999999943,1.8499999999999943,True,2.5,-2.5,False,0.0,0.0,False,-0.0020000000000000018,0.0020000000000000018,False,-0.0040000000000000036,0.0040000000000000036
1996-97,New Jersey Nets,Chicago Bulls,False,-5.299999999999999,5.299999999999999,True,-1.3100000000000023,-1.3100000000000023,True,3.3999999999999915,-3.3999999999999915,True,-2.9000000000000057,-2.9000000000000057,True,0.007000000000000006,-0.007000000000000006,True,0.014000000000000012,-0.014000000000000012
1996-97,New York Knicks,Chicago Bulls,False,-1.9000000000000004,1.9000000000000004,False,-2.3100000000000023,1.6299999999999955,False,-1.4000000000000057,1.4000000000000057,False,-0.7000000000000028,0.7000000000000028,False,-0.025000000000000022,0.025000000000000022,False,-0.025000000000000022,0.025000000000000022
1996-97,Orlando Magic,Chicago Bulls,False,-9.200000000000001,2.8000000000000025,False,-1.3699999999999903,1.3699999999999903,False,-2.799999999999997,2.799999999999997,True,-2.0,-2.0,False,-0.02899999999999997,0.02899999999999997,False,-0.025000000000000022,0.025000000000000022
1996-97,Philadelphia 76ers,Chicago Bulls,False,-6.6,6.6,True,-4.939999999999998,-4.939999999999998,False,-1.5,1.5,True,-6.200000000000003,-6.200000000000003,False,-0.007999999999999952,0.007999999999999952,False,-0.0040000000000000036,0.0040000000000000036
1996-97,Phoenix Suns,Chicago Bulls,False,-2.599999999999998,2.0000000000000036,True,-1.9899999999999949,-1.9899999999999949,False,-1.7000000000000028,1.7000000000000028,True,-6.5,-6.299999999999983,False,-0.008000000000000007,0.008000000000000007,False,-0.01200000000000001,0.0020000000000000018
1996-97,Portland Trail Blazers,Chicago Bulls,False,-4.300000000000001,4.300000000000001,True,-0.710000000000008,-0.6299999999999955,False,-3.8999999999999915,3.8999999999999915,True,-1.2999999999999972,-1.2999999999999972,False,-0.027000000000000024,0.027000000000000024,False,-0.020000000000000018,0.020000000000000018
