team,rank_on_team,player_name,tier,GP,total_min,PTS,REB,AST,STL,BLK,TOV,composite_score,within_season_pct,potential_score
Houston Rockets,3,Dillon Brooks,Fringe,75,2388,14.0,3.7,1.7,0.8,0.2,1.0,0.3549,11.7,0.3194
Houston Rockets,4,Amen Thompson,Starter,69,2225,14.1,8.2,3.8,1.4,1.3,2.0,0.528,76.3,0.4752
Houston Rockets,5,Fred VanVleet,Role Player,60,2111,14.1,3.7,5.5,1.6,0.4,1.4,0.4362,46.1,0.3926
Houston Rockets,6,Jabari Smith Jr.,Role Player,57,1716,12.2,7.0,1.1,0.4,0.7,1.1,0.4034,31.2,0.3631
Houston Rockets,7,Tari Eason,Starter,57,1420,12.0,6.4,1.5,1.7,0.9,1.1,0.5212,75.2,0.4691
Houston Rockets,8,Cam Whitmore,Role Player,51,827,9.4,3.0,1.0,0.6,0.3,0.9,0.4686,56.5,0.4217
Houston Rockets,9,Steven Adams,Starter,58,794,3.9,5.6,1.1,0.4,0.5,0.9,0.5134,72.5,0.4621
Houston Rockets,10,Aaron Holiday,Fringe,62,792,5.5,1.3,1.3,0.3,0.2,0.6,0.3816,22.1,0.3435
Indiana Pacers,1,Pascal Siakam,Starter,78,2548,20.2,6.9,3.4,0.9,0.5,1.4,0.5404,78.9,0.4864
Indiana Pacers,2,Tyrese Haliburton,Star,73,2450,18.6,3.5,9.2,1.4,0.7,1.6,0.6042,93.1,0.5438
Indiana Pacers,3,Myles Turner,Starter,72,2174,15.6,6.5,1.5,0.8,2.0,1.7,0.4889,64.8,0.4401
Indiana Pacers,4,Bennedict Mathurin,Role Player,72,2149,16.1,5.3,1.9,0.7,0.3,1.9,0.4325,44.8,0.3892
Indiana Pacers,5,Andrew Nembhard,Role Player,65,1881,10.0,3.3,5.0,1.2,0.2,1.7,0.4185,39.2,0.3766
Indiana Pacers,6,Obi Toppin,Starter,79,1545,10.5,4.0,1.6,0.6,0.4,0.9,0.4879,64.5,0.4391
Indiana Pacers,7,T.J. McConnell,Starter,79,1415,9.1,2.4,4.4,1.1,0.3,1.4,0.579,89.6,0.5211
Indiana Pacers,8,Ben Sheppard,Fringe,63,1230,5.3,2.8,1.3,0.6,0.2,0.3,0.3284,5.1,0.2956
Indiana Pacers,9,Jarace Walker,Role Player,75,1187,6.1,3.1,1.5,0.7,0.3,1.0,0.4305,43.7,0.3875
Indiana Pacers,10,Aaron Nesmith,Role Player,45,1122,12.0,4.0,1.2,0.8,0.4,0.8,0.4074,32.8,0.3666
LA Clippers,1,James Harden,Star,79,2789,22.8,5.8,8.7,1.5,0.7,4.3,0.6243,94.9,0.5618
LA Clippers,2,Ivica Zubac,Star,80,2624,16.8,12.6,2.7,0.7,1.1,1.6,0.5934,91.2,0.534
LA Clippers,3,Norman Powell,Role Player,60,1958,21.8,3.2,2.1,1.2,0.1,1.8,0.4468,47.7,0.4021
LA Clippers,4,Derrick Jones Jr.,Fringe,77,1873,10.1,3.4,0.8,1.0,0.4,0.9,0.3648,15.7,0.3283
LA Clippers,5,Kris Dunn,Fringe,74,1783,6.4,3.4,2.8,1.7,0.4,1.0,0.3941,28.3,0.3547
